Humidity, Temperature,Heat Index, LightIntensity,Go Out
95,31.1,47.23100349,331,yes
95,31.1,47.23100349,308,yes
95,31.1,47.23100349,298,yes
95,31,46.77561496,301,yes
95,31.1,47.23100349,303,yes
95,31.1,47.23100349,318,yes
95,31.1,47.23100349,319,yes
95,31.1,47.23100349,315,yes
95,31.1,47.23100349,309,yes
95,31.1,47.23100349,550,yes
95,31.1,47.23100349,694,no
95,31.1,47.23100349,701,no
95,31.1,47.23100349,703,no
95,31.1,47.23100349,702,no
20,22,23.7189804,697,yes
20,22,23.7189804,691,yes
26,22,24.27906732,688,yes
26,22,24.27906732,689,yes
20,22,23.7189804,698,yes
23,22,24.01880942,697,no
20,22,23.7189804,705,no
23,22,24.01880942,702,no
20,21,23.42849221,700,no
21,21,23.56041479,695,no
20,21,23.42849221,692,no
20,21,23.42849221,690,no
20,21,23.42849221,686,no
20,21,23.42849221,686,yes
20,21,23.42849221,685,yes
20,21,23.42849221,689,yes
21,21,23.56041479,694,no
26,21,24.13693279,695,no
20,21,23.42849221,691,yes
21,21,23.56041479,699,no
20,21,23.42849221,691,yes
21,21,23.56041479,682,yes
22,21,23.68679771,680,yes
20,21,23.42849221,677,yes
21,20,23.36262661,680,yes
20,21,23.42849221,685,yes
21,20,23.36262661,685,yes
21,20,23.36262661,688,yes
21,20,23.36262661,680,yes
21,20,23.36262661,678,yes
21,20,23.36262661,675,yes
21,20,23.36262661,675,yes
21,20,23.36262661,686,yes
21,20,23.36262661,688,yes
27,20,24.20380324,688,no
20,21,23.42849221,685,no
27,20,24.20380324,676,no
22,20,23.51956486,678,no
27,20,24.20380324,674,yes
22,20,23.51956486,672,yes
22,20,23.51956486,673,yes
21,20,23.36262661,672,yes
21,20,23.36262661,672,yes
23,22,24.01880942,676,no
24,19,23.78117747,679,no
21,19,23.22995567,682,no
22,19,23.42156465,681,no
140,9,-26.5497117,686,no
21,19,23.22995567,686,no
33,19,25.00995038,687,no
22,19,23.42156465,684,no
21,19,23.22995567,684,no
23,20,23.66980624,680,no
21,19,23.22995567,677,no
21,19,23.22995567,677,no
24,18,23.82642465,676,no
25,19,23.94918131,673,no
21,19,23.22995567,671,no
22,17,23.43326216,676,no
21,19,23.22995567,675,no
24,19,23.78117747,678,no
22,18,23.39279708,687,no
22,18,23.39279708,690,no
22,18,23.39279708,687,no
22,18,23.39279708,686,no
22,18,23.39279708,294,no
28,18,24.58502899,292,no
22,18,23.39279708,302,no
23,18,23.61413798,310,no
28,18,24.58502899,313,no
22,18,23.39279708,316,no
22,18,23.39279708,310,no
22,18,23.39279708,302,no
24,18,23.82642465,299,no
22,18,23.39279708,298,no
22,18,23.39279708,297,no
22,18,23.39279708,294,no
23,17,23.69630444,299,no
28,17,24.85769965,299,no
22,18,23.39279708,303,no
28,17,24.85769965,303,no
22,18,23.39279708,314,no
28,17,24.85769965,320,no
22,17,23.43326216,317,no
28,17,24.85769965,320,no
28,17,24.85769965,313,no
25,17,24.19162576,302,no
22,17,23.43326216,300,no
