Humidity, Temperature,Heat Index, LightIntensity,Go Out
95,31.1,47.23100349, There is sufficient light :331,yes
95,31.1,47.23100349, There is sufficient light :308,yes
95,31.1,47.23100349, There is sufficient light :298,yes
95,31,46.77561496, There is sufficient light :301,yes
95,31.1,47.23100349, There is sufficient light :303,yes
95,31.1,47.23100349, There is sufficient light :318,yes
95,31.1,47.23100349, There is sufficient light :319,yes
95,31.1,47.23100349, There is sufficient light :315,yes
95,31.1,47.23100349, There is sufficient light :309,yes
95,31.1,47.23100349, There is sufficient light :550,yes
95,31.1,47.23100349, Darkness over here :694,no
95,31.1,47.23100349, Darkness over here :701,no
95,31.1,47.23100349, Darkness over here :703,no
95,31.1,47.23100349, Darkness over here :702,no
20,22,23.7189804, Darkness over here :697,yes
20,22,23.7189804, Darkness over here :691,yes
26,22,24.27906732, Darkness over here :688,yes
26,22,24.27906732, Darkness over here :689,yes
20,22,23.7189804, Darkness over here :698,yes
23,22,24.01880942, Darkness over here :697,no
20,22,23.7189804, Darkness over here :705,no
23,22,24.01880942, Darkness over here :702,no
20,21,23.42849221, Darkness over here :700,no
21,21,23.56041479, Darkness over here :695,no
20,21,23.42849221, Darkness over here :692,no
20,21,23.42849221, Darkness over here :690,no
20,21,23.42849221, Darkness over here :686,no
20,21,23.42849221, Darkness over here :686,yes
20,21,23.42849221, Darkness over here :685,yes
20,21,23.42849221, Darkness over here :689,yes
21,21,23.56041479, Darkness over here :694,no
26,21,24.13693279, Darkness over here :695,no
20,21,23.42849221, Darkness over here :691,yes
21,21,23.56041479, Darkness over here :699,no
20,21,23.42849221, Darkness over here :691,yes
21,21,23.56041479, Darkness over here :682,yes
22,21,23.68679771, Darkness over here :680,yes
20,21,23.42849221, Darkness over here :677,yes
21,20,23.36262661, Darkness over here :680,yes
20,21,23.42849221, Darkness over here :685,yes
21,20,23.36262661, Darkness over here :685,yes
21,20,23.36262661, Darkness over here :688,yes
21,20,23.36262661, Darkness over here :680,yes
21,20,23.36262661, Darkness over here :678,yes
21,20,23.36262661, Darkness over here :675,yes
21,20,23.36262661, Darkness over here :675,yes
21,20,23.36262661, Darkness over here :686,yes
21,20,23.36262661, Darkness over here :688,yes
27,20,24.20380324, Darkness over here :688,no
20,21,23.42849221, Darkness over here :685,no
27,20,24.20380324, Darkness over here :676,no
22,20,23.51956486, Darkness over here :678,no
27,20,24.20380324, Darkness over here :674,yes
22,20,23.51956486, Darkness over here :672,yes
22,20,23.51956486, Darkness over here :673,yes
21,20,23.36262661, Darkness over here :672,yes
21,20,23.36262661, Darkness over here :672,yes
23,22,24.01880942, Darkness over here :676,no
24,19,23.78117747, Darkness over here :679,no
21,19,23.22995567, Darkness over here :682,no
22,19,23.42156465, Darkness over here :681,no
140,9,-26.5497117, Darkness over here :686,no
21,19,23.22995567, Darkness over here :686,no
33,19,25.00995038, Darkness over here :687,no
22,19,23.42156465, Darkness over here :684,no
21,19,23.22995567, Darkness over here :684,no
23,20,23.66980624, Darkness over here :680,no
21,19,23.22995567, Darkness over here :677,no
21,19,23.22995567, Darkness over here :677,no
24,18,23.82642465, Darkness over here :676,no
25,19,23.94918131, Darkness over here :673,no
21,19,23.22995567, Darkness over here :671,no
22,17,23.43326216, Darkness over here :676,no
21,19,23.22995567, Darkness over here :675,no
24,19,23.78117747, Darkness over here :678,no
22,18,23.39279708, Darkness over here :687,no
22,18,23.39279708, Darkness over here :690,no
22,18,23.39279708, Darkness over here :687,no
22,18,23.39279708, Darkness over here :686,no
22,18,23.39279708, There is sufficient light :294,no
28,18,24.58502899, There is sufficient light :292,no
22,18,23.39279708, There is sufficient light :302,no
23,18,23.61413798, There is sufficient light :310,no
28,18,24.58502899, There is sufficient light :313,no
22,18,23.39279708, There is sufficient light :316,no
22,18,23.39279708, There is sufficient light :310,no
22,18,23.39279708, There is sufficient light :302,no
24,18,23.82642465, There is sufficient light :299,no
22,18,23.39279708, There is sufficient light :298,no
22,18,23.39279708, There is sufficient light :297,no
22,18,23.39279708, There is sufficient light :294,no
23,17,23.69630444, There is sufficient light :299,no
28,17,24.85769965, There is sufficient light :299,no
22,18,23.39279708, There is sufficient light :303,no
28,17,24.85769965, There is sufficient light :303,no
22,18,23.39279708, There is sufficient light :314,no
28,17,24.85769965, There is sufficient light :320,no
22,17,23.43326216, There is sufficient light :317,no
28,17,24.85769965, There is sufficient light :320,no
28,17,24.85769965, There is sufficient light :313,no
25,17,24.19162576, There is sufficient light :302,no
22,17,23.43326216, There is sufficient light :300,no
22,17,23.43326216, There is sufficient light :299,no
22,17,23.43326216, There is sufficient light :302,no
28,17,24.85769965, There is sufficient light :312,no
22,17,23.43326216, There is sufficient light :320,no
22,17,23.43326216, There is sufficient light :318,no
22,17,23.43326216, There is sufficient light :304,no
22,17,23.43326216, There is sufficient light :298,no
22,17,23.43326216, There is sufficient light :296,no
27,17,24.64592943, There is sufficient light :296,no
22,17,23.43326216, There is sufficient light :305,no
26,16,24.70952533, There is sufficient light :311,no
23,17,23.69630444, There is sufficient light :319,no
23,15,24.08063854, There is sufficient light :303,no
29,16,25.46402576, There is sufficient light :297,no
26,16,24.70952533, There is sufficient light :298,no
27,16,24.9724944, There is sufficient light :309,no
23,16,23.85180463, There is sufficient light :320,no
29,16,25.46402576, There is sufficient light :317,no
22,17,23.43326216, There is sufficient light :307,no
24,16,24.14918045, There is sufficient light :297,no
